edge	mean_te	std_te	ci_lower	ci_upper	significant
CST3->S100A11	0.004076	0.003007	0.000075	0.011306	True
CST3->FCER1G	0.000795	0.001919	0.000000	0.006268	False
CST3->S100A8	0.000000	0.000000	0.000000	0.000000	False
CST3->CD69	0.000000	0.000000	0.000000	0.000000	False
CST3->SMAP2	0.000000	0.000000	0.000000	0.000000	False
CST3->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
CST3->SLC25A37	0.000288	0.000424	0.000000	0.001523	False
CST3->ATP5F1E	0.004241	0.004435	0.000000	0.015278	False
CST3->SOD2	0.000000	0.000000	0.000000	0.000000	False
CST3->MYL6	0.000144	0.000649	0.000000	0.001645	False
CST3->TXNIP	0.000000	0.000000	0.000000	0.000000	False
CST3->H3F3A	0.000000	0.000000	0.000000	0.000000	False
CST3->S100A9	0.000000	0.000000	0.000000	0.000000	False
CST3->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
