gene	log2FC	score	pvalue	pvalue_adj	comparison
FCGR2A	3.3767798	39.18164	0.0	0.0	Periphery_vs_Healthy
HLA-DQB1	3.4142325	39.18045	0.0	0.0	Periphery_vs_Healthy
SOD2	3.3667176	39.147217	0.0	0.0	Periphery_vs_Healthy
RPL41	1.3589746	39.046066	0.0	0.0	Periphery_vs_Healthy
CD68	3.332859	39.016827	0.0	0.0	Periphery_vs_Healthy
RPL10	0.93832767	38.909805	0.0	0.0	Periphery_vs_Healthy
RPL3	1.8501598	38.79912	0.0	0.0	Periphery_vs_Healthy
RPS12	1.4341948	38.76917	0.0	0.0	Periphery_vs_Healthy
EEF1A1	0.66777694	38.68861	0.0	0.0	Periphery_vs_Healthy
CEBPD	3.879885	38.621952	0.0	0.0	Periphery_vs_Healthy
AIF1	3.3211503	38.519093	0.0	0.0	Periphery_vs_Healthy
RPS13	1.9228705	38.515354	0.0	0.0	Periphery_vs_Healthy
RPL19	1.4110936	38.277763	0.0	0.0	Periphery_vs_Healthy
HCLS1	3.4166412	38.263687	0.0	0.0	Periphery_vs_Healthy
FCGR3A	3.3129168	38.23769	0.0	0.0	Periphery_vs_Healthy
HLA-DMA	3.2666378	38.17547	0.0	0.0	Periphery_vs_Healthy
RPL39	2.3418896	37.816017	0.0	0.0	Periphery_vs_Healthy
CXCL16	3.2393763	37.566242	7.6513928188672e-309	1.3404776497878427e-306	Periphery_vs_Healthy
TMSB10	2.8969357	37.414635	2.259172078837462e-306	3.886350755814545e-304	Periphery_vs_Healthy
RPS15A	2.0211825	37.414482	2.272090766017428e-306	3.886350755814545e-304	Periphery_vs_Healthy
RPL26	1.8013288	37.059147	1.279291633690654e-300	2.1253151296032037e-298	Periphery_vs_Healthy
DDIT4	3.003758	36.712814	4.560923244010054e-295	7.491057284920376e-293	Periphery_vs_Healthy
B3GNT5	3.1789155	36.478004	2.4758129380477445e-291	4.0206923932666376e-289	Periphery_vs_Healthy
RPS7	2.1425695	36.440395	9.76592296679814e-291	1.5683529733401877e-288	Periphery_vs_Healthy
RPS8	1.2830794	36.41197	2.752638520820544e-290	4.396161421069584e-288	Periphery_vs_Healthy
